sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.9959999999999999,0.975,0.9935,0.9644999999999999,0.9904999999999999,0.9709999999999999,0.99,0.9709999999999999,1.0,0.9765,1.0,0.9825000000000002,1.0,0.984
200,0.9994999999999999,0.9777499999999998,0.9957499999999999,0.9742500000000002,0.9927499999999998,0.97325,0.9919999999999997,0.97325,0.99975,0.9804999999999999,1.0,0.98475,1.0,0.9857499999999998
300,0.9968,0.9734999999999999,0.99685,0.9718,0.9927999999999999,0.9715500000000002,0.9930499999999997,0.9718500000000001,0.99985,0.97205,1.0,0.98085,1.0,0.9832500000000002
500,1.0,0.9771000000000001,1.0,0.9756999999999998,0.9925,0.9697999999999999,0.9934000000000001,0.9711000000000001,0.9993000000000002,0.9724999999999998,1.0,0.9821,0.9998999999999999,0.9840000000000002
