,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
40,0.108,0.198,0.115,1.0,0.844,0.913,1.0,0.344,0.656,0.208,0.207,0.264,0.618,0.734,0.626,0.11,0.15,0.11
41,0.106,0.197,0.112,1.0,0.85,0.919,1.0,0.344,0.656,0.209,0.206,0.265,0.62,0.738,0.628,0.11,0.15,0.11
42,0.104,0.195,0.108,1.0,0.85,0.925,1.0,0.344,0.656,0.209,0.205,0.267,0.618,0.744,0.63,0.11,0.16,0.11
43,0.103,0.194,0.105,1.0,0.856,0.925,1.0,0.344,0.656,0.21,0.204,0.268,0.618,0.744,0.63,0.11,0.16,0.11
44,0.101,0.192,0.102,1.0,0.856,0.925,1.0,0.344,0.656,0.21,0.203,0.269,0.616,0.75,0.63,0.11,0.17,0.11
45,0.1,0.19,0.099,1.0,0.856,0.925,1.0,0.344,0.656,0.211,0.202,0.27,0.616,0.75,0.63,0.11,0.17,0.11
46,0.098,0.189,0.096,1.0,0.856,0.931,1.0,0.344,0.688,0.211,0.202,0.271,0.616,0.754,0.63,0.11,0.19,0.11
47,0.097,0.187,0.093,1.0,0.856,0.931,1.0,0.344,0.688,0.212,0.201,0.272,0.614,0.756,0.628,0.11,0.19,0.11
48,0.095,0.185,0.09,1.0,0.863,0.931,1.0,0.375,0.688,0.212,0.2,0.273,0.614,0.758,0.628,0.11,0.2,0.11
49,0.094,0.184,0.087,1.0,0.875,0.938,1.0,0.406,0.719,0.213,0.199,0.274,0.612,0.756,0.63,0.11,0.2,0.12
50,0.093,0.182,0.084,1.0,0.887,0.944,1.0,0.469,0.75,0.213,0.198,0.275,0.612,0.756,0.63,0.11,0.2,0.12
51,0.091,0.181,0.081,1.0,0.887,0.956,1.0,0.469,0.812,0.214,0.197,0.276,0.612,0.756,0.63,0.11,0.2,0.12
52,0.09,0.179,0.078,1.0,0.887,0.956,1.0,0.469,0.812,0.214,0.196,0.277,0.612,0.762,0.63,0.11,0.21,0.12
53,0.089,0.177,0.076,1.0,0.894,0.956,1.0,0.5,0.812,0.215,0.196,0.278,0.612,0.764,0.63,0.11,0.21,0.12
54,0.088,0.176,0.073,1.0,0.894,0.956,1.0,0.5,0.812,0.216,0.195,0.279,0.612,0.766,0.632,0.11,0.21,0.12
55,0.087,0.174,0.07,1.0,0.9,0.956,1.0,0.531,0.812,0.216,0.194,0.281,0.612,0.764,0.632,0.11,0.21,0.12
56,0.085,0.173,0.067,1.0,0.9,0.963,1.0,0.531,0.812,0.217,0.193,0.282,0.61,0.766,0.634,0.11,0.22,0.13
57,0.084,0.171,0.065,1.0,0.906,0.963,1.0,0.562,0.812,0.217,0.193,0.283,0.61,0.766,0.636,0.11,0.22,0.13
58,0.083,0.169,0.062,1.0,0.913,0.975,1.0,0.594,0.875,0.218,0.192,0.285,0.612,0.768,0.636,0.11,0.22,0.12
59,0.082,0.168,0.06,1.0,0.919,0.975,1.0,0.594,0.875,0.218,0.191,0.287,0.612,0.768,0.634,0.11,0.22,0.12
60,0.081,0.166,0.057,1.0,0.919,0.975,1.0,0.594,0.875,0.219,0.191,0.288,0.612,0.772,0.634,0.11,0.22,0.12
61,0.08,0.164,0.055,1.0,0.919,0.975,1.0,0.594,0.875,0.219,0.19,0.29,0.614,0.772,0.634,0.11,0.22,0.12
62,0.079,0.163,0.052,1.0,0.919,0.981,1.0,0.594,0.906,0.219,0.189,0.291,0.614,0.77,0.634,0.11,0.23,0.12
63,0.078,0.161,0.05,1.0,0.931,0.988,1.0,0.656,0.938,0.22,0.189,0.292,0.614,0.77,0.636,0.11,0.23,0.12
64,0.077,0.16,0.048,1.0,0.931,0.988,1.0,0.656,0.938,0.22,0.188,0.294,0.614,0.77,0.634,0.11,0.23,0.12
65,0.076,0.158,0.045,1.0,0.938,0.988,1.0,0.688,0.938,0.221,0.188,0.295,0.614,0.768,0.632,0.11,0.22,0.12
66,0.076,0.157,0.043,1.0,0.938,0.988,1.0,0.688,0.938,0.221,0.187,0.296,0.614,0.768,0.632,0.11,0.22,0.12
67,0.075,0.155,0.041,1.0,0.944,0.994,1.0,0.719,0.969,0.221,0.187,0.297,0.614,0.766,0.632,0.11,0.22,0.12
68,0.074,0.154,0.039,1.0,0.944,0.994,1.0,0.719,0.969,0.221,0.186,0.298,0.614,0.766,0.628,0.11,0.22,0.12
69,0.073,0.152,0.037,1.0,0.944,1.0,1.0,0.719,1.0,0.222,0.186,0.299,0.614,0.768,0.628,0.11,0.22,0.12
70,0.072,0.15,0.036,1.0,0.956,1.0,1.0,0.781,1.0,0.222,0.185,0.299,0.616,0.766,0.624,0.11,0.22,0.12
71,0.071,0.149,0.034,1.0,0.956,1.0,1.0,0.781,1.0,0.222,0.185,0.3,0.616,0.768,0.622,0.11,0.22,0.12
72,0.071,0.147,0.032,1.0,0.956,1.0,1.0,0.781,1.0,0.222,0.185,0.3,0.616,0.768,0.624,0.11,0.21,0.12
73,0.07,0.146,0.031,1.0,0.963,1.0,1.0,0.812,1.0,0.223,0.184,0.301,0.616,0.762,0.624,0.11,0.2,0.12
74,0.069,0.145,0.029,1.0,0.963,1.0,1.0,0.812,1.0,0.223,0.184,0.301,0.616,0.762,0.622,0.11,0.2,0.11
75,0.068,0.143,0.028,1.0,0.963,1.0,1.0,0.812,1.0,0.223,0.183,0.301,0.616,0.762,0.624,0.11,0.2,0.11
76,0.068,0.142,0.026,1.0,0.963,1.0,1.0,0.812,1.0,0.223,0.183,0.3,0.618,0.762,0.624,0.11,0.2,0.11
77,0.067,0.14,0.025,1.0,0.963,1.0,1.0,0.812,1.0,0.224,0.183,0.3,0.618,0.762,0.624,0.11,0.2,0.11
78,0.066,0.139,0.024,1.0,0.963,1.0,1.0,0.812,1.0,0.224,0.182,0.3,0.618,0.762,0.624,0.11,0.2,0.11
79,0.066,0.137,0.023,1.0,0.969,1.0,1.0,0.844,1.0,0.224,0.182,0.299,0.618,0.762,0.626,0.11,0.2,0.11
80,0.065,0.136,0.022,1.0,0.969,1.0,1.0,0.844,1.0,0.224,0.181,0.298,0.62,0.764,0.624,0.11,0.2,0.11
81,0.064,0.135,0.021,1.0,0.981,1.0,1.0,0.906,1.0,0.224,0.181,0.298,0.62,0.764,0.624,0.11,0.2,0.11
82,0.064,0.133,0.02,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.181,0.297,0.62,0.762,0.624,0.11,0.21,0.11
83,0.063,0.132,0.019,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.18,0.296,0.62,0.766,0.626,0.11,0.21,0.11
84,0.062,0.131,0.018,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.18,0.295,0.62,0.764,0.626,0.11,0.21,0.11
85,0.062,0.129,0.017,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.179,0.295,0.62,0.764,0.626,0.11,0.21,0.11
86,0.061,0.128,0.016,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.179,0.294,0.62,0.764,0.626,0.11,0.21,0.11
87,0.061,0.127,0.016,1.0,0.981,1.0,1.0,0.906,1.0,0.225,0.178,0.293,0.622,0.764,0.628,0.11,0.21,0.11
88,0.06,0.126,0.015,1.0,0.981,1.0,1.0,0.906,1.0,0.226,0.178,0.292,0.622,0.764,0.63,0.11,0.21,0.11
89,0.06,0.124,0.014,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.178,0.291,0.622,0.764,0.632,0.11,0.21,0.11
90,0.059,0.123,0.014,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.177,0.291,0.622,0.768,0.634,0.11,0.21,0.11
91,0.058,0.122,0.013,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.177,0.29,0.622,0.77,0.634,0.11,0.21,0.11
92,0.058,0.121,0.013,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.176,0.289,0.622,0.77,0.634,0.11,0.21,0.11
93,0.057,0.12,0.012,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.176,0.288,0.624,0.77,0.634,0.11,0.21,0.11
94,0.057,0.118,0.012,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.176,0.288,0.624,0.772,0.636,0.11,0.21,0.11
95,0.056,0.117,0.011,1.0,0.988,1.0,1.0,0.938,1.0,0.226,0.175,0.287,0.624,0.772,0.636,0.11,0.21,0.11
96,0.056,0.116,0.011,1.0,0.988,1.0,1.0,0.938,1.0,0.227,0.175,0.286,0.626,0.772,0.638,0.11,0.21,0.12
97,0.055,0.115,0.011,1.0,0.988,1.0,1.0,0.938,1.0,0.227,0.174,0.285,0.626,0.772,0.64,0.11,0.21,0.12
98,0.055,0.114,0.01,1.0,0.988,1.0,1.0,0.938,1.0,0.227,0.174,0.284,0.628,0.77,0.642,0.11,0.21,0.12
99,0.054,0.113,0.01,1.0,0.988,1.0,1.0,0.938,1.0,0.227,0.174,0.283,0.63,0.77,0.646,0.11,0.21,0.12
