sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.9315000000000001,0.6195,0.9040000000000001,0.5449999999999999,0.9174999999999999,0.6689999999999999,0.9199999999999999,0.627,0.9654999999999999,0.709,0.969,0.7200000000000001,0.9695,0.7409999999999999
200,0.9352500000000001,0.6797500000000001,0.9085000000000001,0.5972500000000001,0.9072500000000001,0.67875,0.914,0.64025,0.9532499999999999,0.6902499999999999,0.95425,0.7005000000000001,0.9657500000000001,0.7290000000000001
300,0.9441499999999998,0.6817,0.9254999999999999,0.6148999999999998,0.9085999999999999,0.6737,0.9193999999999999,0.64295,0.9519000000000002,0.68065,0.9552999999999999,0.6885999999999999,0.9623499999999998,0.7065999999999999
500,0.9586999999999997,0.7236999999999998,0.9369000000000002,0.6439999999999999,0.9117,0.678,0.9221999999999998,0.6479999999999999,0.9578999999999999,0.6801,0.9594999999999999,0.6869,0.9640000000000001,0.7098999999999999
