,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
21,200,0.925,0.575,0.9,0.58,0.875,0.67,0.895,0.59,0.955,0.71,0.955,0.705,0.975,0.745
22,200,0.945,0.755,0.89,0.67,0.875,0.715,0.905,0.695,0.96,0.73,0.95,0.745,0.965,0.725
23,200,0.935,0.745,0.905,0.485,0.93,0.71,0.91,0.675,0.935,0.715,0.945,0.72,0.965,0.755
24,200,0.91,0.71,0.885,0.655,0.905,0.685,0.89,0.645,0.955,0.725,0.965,0.73,0.945,0.755
25,200,0.93,0.57,0.945,0.65,0.87,0.65,0.895,0.62,0.955,0.73,0.94,0.705,0.975,0.74
26,200,0.93,0.65,0.865,0.45,0.9,0.67,0.895,0.615,0.955,0.655,0.955,0.695,0.965,0.72
27,200,0.96,0.705,0.955,0.675,0.9,0.67,0.89,0.635,0.94,0.665,0.95,0.675,0.975,0.685
28,200,0.965,0.695,0.9,0.475,0.905,0.67,0.89,0.63,0.955,0.695,0.965,0.715,0.965,0.7
29,200,0.945,0.695,0.89,0.635,0.895,0.68,0.905,0.625,0.94,0.675,0.935,0.685,0.965,0.71
30,200,0.925,0.695,0.945,0.655,0.93,0.7,0.93,0.655,0.94,0.67,0.955,0.69,0.97,0.75
31,200,0.94,0.745,0.915,0.665,0.915,0.735,0.94,0.71,0.97,0.72,0.97,0.74,0.97,0.775
32,200,0.925,0.625,0.885,0.445,0.89,0.635,0.91,0.59,0.95,0.71,0.955,0.705,0.97,0.765
33,200,0.925,0.71,0.93,0.69,0.895,0.66,0.91,0.645,0.95,0.665,0.95,0.66,0.95,0.72
34,200,0.95,0.695,0.915,0.615,0.9,0.685,0.93,0.64,0.98,0.685,0.97,0.73,0.97,0.745
35,200,0.935,0.615,0.845,0.5,0.91,0.675,0.915,0.615,0.95,0.66,0.94,0.68,0.955,0.725
36,200,0.935,0.685,0.915,0.68,0.93,0.685,0.94,0.66,0.955,0.69,0.95,0.695,0.96,0.72
37,200,0.905,0.66,0.95,0.675,0.915,0.665,0.93,0.605,0.945,0.65,0.94,0.67,0.955,0.705
38,200,0.93,0.665,0.895,0.505,0.925,0.62,0.925,0.61,0.95,0.655,0.95,0.65,0.965,0.675
39,200,0.925,0.66,0.89,0.525,0.945,0.67,0.945,0.665,0.96,0.655,0.97,0.665,0.975,0.68
40,300,0.967,0.69,0.937,0.657,0.903,0.677,0.94,0.653,0.967,0.667,0.963,0.683,0.957,0.683
41,300,0.94,0.68,0.93,0.633,0.903,0.66,0.91,0.603,0.96,0.68,0.963,0.693,0.97,0.693
42,300,0.957,0.69,0.923,0.62,0.923,0.683,0.923,0.657,0.953,0.693,0.963,0.703,0.96,0.717
43,300,0.94,0.72,0.933,0.67,0.907,0.683,0.923,0.68,0.95,0.69,0.947,0.693,0.95,0.72
44,300,0.97,0.737,0.937,0.533,0.917,0.697,0.923,0.657,0.977,0.69,0.977,0.707,0.987,0.733
45,300,0.933,0.66,0.94,0.663,0.907,0.667,0.937,0.633,0.95,0.703,0.953,0.703,0.957,0.727
46,300,0.937,0.69,0.94,0.687,0.887,0.65,0.897,0.593,0.953,0.657,0.953,0.687,0.957,0.7
47,300,0.947,0.687,0.937,0.667,0.897,0.653,0.933,0.623,0.947,0.703,0.943,0.703,0.97,0.713
48,300,0.957,0.737,0.903,0.527,0.917,0.69,0.907,0.657,0.957,0.7,0.957,0.703,0.95,0.737
49,300,0.953,0.703,0.947,0.68,0.917,0.69,0.93,0.63,0.957,0.687,0.963,0.663,0.957,0.673
50,300,0.943,0.683,0.953,0.657,0.92,0.667,0.92,0.64,0.947,0.68,0.95,0.693,0.947,0.707
51,300,0.953,0.697,0.907,0.63,0.907,0.657,0.937,0.613,0.957,0.657,0.957,0.667,0.97,0.697
52,300,0.953,0.71,0.907,0.563,0.907,0.69,0.917,0.68,0.943,0.65,0.953,0.67,0.95,0.647
53,300,0.94,0.643,0.94,0.583,0.913,0.663,0.907,0.657,0.957,0.697,0.967,0.717,0.977,0.753
54,300,0.933,0.693,0.893,0.517,0.887,0.657,0.88,0.647,0.927,0.653,0.93,0.65,0.947,0.68
55,300,0.96,0.737,0.92,0.61,0.913,0.683,0.917,0.653,0.953,0.673,0.96,0.68,0.987,0.72
56,300,0.947,0.687,0.943,0.687,0.91,0.677,0.927,0.68,0.943,0.703,0.947,0.697,0.977,0.713
57,300,0.893,0.527,0.9,0.617,0.907,0.663,0.91,0.603,0.937,0.66,0.95,0.66,0.947,0.693
58,300,0.91,0.68,0.907,0.52,0.897,0.657,0.917,0.633,0.94,0.69,0.943,0.697,0.953,0.713
59,300,0.95,0.583,0.913,0.577,0.933,0.71,0.933,0.667,0.963,0.68,0.967,0.703,0.977,0.713
60,500,0.966,0.736,0.962,0.732,0.916,0.678,0.93,0.66,0.974,0.698,0.968,0.71,0.976,0.724
61,500,0.948,0.724,0.932,0.586,0.916,0.696,0.922,0.662,0.966,0.688,0.972,0.706,0.966,0.718
62,500,0.95,0.73,0.928,0.534,0.91,0.686,0.924,0.624,0.956,0.688,0.96,0.684,0.964,0.72
63,500,0.952,0.672,0.956,0.694,0.922,0.65,0.918,0.616,0.958,0.634,0.952,0.65,0.964,0.68
64,500,0.948,0.72,0.942,0.688,0.908,0.676,0.914,0.628,0.948,0.674,0.948,0.664,0.962,0.698
65,500,0.958,0.714,0.882,0.434,0.896,0.656,0.912,0.638,0.938,0.65,0.944,0.642,0.95,0.678
66,500,0.96,0.724,0.95,0.726,0.896,0.656,0.918,0.66,0.952,0.666,0.958,0.68,0.964,0.704
67,500,0.95,0.72,0.952,0.696,0.91,0.678,0.928,0.646,0.958,0.68,0.962,0.69,0.96,0.732
68,500,0.96,0.744,0.938,0.642,0.896,0.662,0.916,0.652,0.956,0.69,0.958,0.686,0.962,0.688
69,500,0.966,0.716,0.908,0.552,0.914,0.676,0.934,0.624,0.954,0.68,0.95,0.686,0.966,0.696
70,500,0.97,0.72,0.946,0.658,0.912,0.68,0.928,0.638,0.968,0.692,0.97,0.704,0.97,0.718
71,500,0.972,0.74,0.968,0.728,0.904,0.69,0.914,0.67,0.958,0.686,0.956,0.692,0.964,0.726
72,500,0.974,0.732,0.958,0.724,0.918,0.682,0.916,0.658,0.952,0.656,0.958,0.694,0.956,0.686
73,500,0.946,0.718,0.93,0.654,0.92,0.68,0.93,0.632,0.956,0.682,0.97,0.692,0.968,0.716
74,500,0.958,0.718,0.912,0.53,0.91,0.694,0.93,0.652,0.958,0.678,0.96,0.68,0.958,0.712
75,500,0.962,0.728,0.952,0.718,0.924,0.688,0.928,0.652,0.968,0.694,0.964,0.702,0.97,0.734
76,500,0.96,0.726,0.898,0.52,0.918,0.686,0.918,0.656,0.956,0.69,0.956,0.694,0.97,0.738
77,500,0.958,0.744,0.956,0.722,0.932,0.724,0.926,0.706,0.97,0.732,0.97,0.722,0.968,0.748
78,500,0.958,0.726,0.948,0.698,0.898,0.654,0.912,0.652,0.958,0.664,0.958,0.666,0.966,0.69
79,500,0.958,0.722,0.92,0.644,0.914,0.668,0.926,0.634,0.954,0.68,0.956,0.694,0.956,0.692
