,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
0,100,0.94,0.7,0.92,0.61,0.88,0.69,0.91,0.67,0.97,0.7,0.98,0.73,0.98,0.7
1,100,0.95,0.66,0.95,0.63,0.92,0.67,0.95,0.64,0.96,0.71,0.96,0.74,0.96,0.73
2,100,0.93,0.54,0.85,0.45,0.9,0.6,0.9,0.55,0.98,0.69,0.98,0.66,0.98,0.71
3,100,0.88,0.52,0.93,0.66,0.88,0.65,0.87,0.59,0.94,0.66,0.95,0.68,0.95,0.75
4,100,0.91,0.49,0.88,0.47,0.94,0.66,0.9,0.58,0.94,0.66,0.95,0.66,0.93,0.67
5,100,0.98,0.71,0.87,0.51,0.92,0.69,0.94,0.68,0.97,0.71,0.99,0.75,0.98,0.75
6,100,0.9,0.56,0.9,0.58,0.84,0.64,0.89,0.65,0.93,0.72,0.93,0.73,0.95,0.74
7,100,0.91,0.57,0.93,0.66,0.91,0.68,0.9,0.65,0.96,0.74,0.96,0.73,0.96,0.79
8,100,0.97,0.61,0.92,0.58,0.93,0.64,0.91,0.6,0.95,0.64,0.97,0.67,0.99,0.72
9,100,0.97,0.68,0.88,0.49,0.94,0.63,0.94,0.61,0.98,0.74,0.99,0.71,0.99,0.75
10,100,0.91,0.71,0.94,0.56,0.92,0.73,0.92,0.68,0.98,0.74,0.98,0.71,0.97,0.73
11,100,0.94,0.69,0.93,0.69,0.92,0.69,0.92,0.64,0.96,0.72,0.96,0.75,0.96,0.78
12,100,0.94,0.54,0.85,0.42,0.93,0.63,0.93,0.6,0.95,0.62,0.95,0.68,0.98,0.68
13,100,0.97,0.75,0.91,0.59,0.93,0.69,0.92,0.62,0.98,0.74,0.97,0.76,0.98,0.77
14,100,0.93,0.66,0.86,0.41,0.93,0.69,0.96,0.63,0.98,0.7,0.98,0.73,0.97,0.71
15,100,0.9,0.52,0.92,0.58,0.94,0.74,0.93,0.68,0.99,0.79,1.0,0.79,0.99,0.82
16,100,0.94,0.59,0.9,0.44,0.94,0.67,0.92,0.64,0.97,0.71,0.96,0.71,0.99,0.77
17,100,0.96,0.67,0.97,0.6,0.97,0.65,0.97,0.61,0.99,0.71,0.98,0.72,0.97,0.74
18,100,0.86,0.57,0.85,0.45,0.87,0.64,0.89,0.6,0.97,0.72,0.97,0.73,0.94,0.75
19,100,0.94,0.65,0.92,0.52,0.94,0.7,0.93,0.62,0.96,0.76,0.97,0.76,0.97,0.76
20,200,0.965,0.74,0.95,0.715,0.935,0.725,0.93,0.68,0.965,0.745,0.975,0.75,0.98,0.785
