,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
52,0.059,0.07,0.048,0.935,0.925,0.941,0.773,0.746,0.795,0.049,0.061,0.041,0.957,0.947,0.95,0.84,0.81,0.81
53,0.058,0.069,0.047,0.935,0.925,0.941,0.769,0.746,0.795,0.048,0.06,0.038,0.955,0.95,0.957,0.83,0.82,0.84
54,0.058,0.069,0.047,0.936,0.926,0.94,0.775,0.745,0.793,0.048,0.06,0.04,0.957,0.95,0.957,0.84,0.82,0.84
55,0.058,0.068,0.047,0.935,0.924,0.941,0.771,0.738,0.796,0.047,0.059,0.037,0.955,0.95,0.95,0.83,0.82,0.81
56,0.058,0.067,0.047,0.934,0.924,0.941,0.769,0.738,0.795,0.048,0.058,0.039,0.955,0.95,0.952,0.83,0.82,0.82
57,0.057,0.067,0.047,0.936,0.928,0.941,0.774,0.752,0.794,0.047,0.057,0.037,0.957,0.95,0.95,0.84,0.82,0.81
58,0.057,0.066,0.047,0.935,0.927,0.941,0.77,0.751,0.797,0.047,0.056,0.038,0.955,0.95,0.955,0.83,0.82,0.83
59,0.057,0.066,0.047,0.935,0.928,0.942,0.774,0.753,0.797,0.046,0.057,0.038,0.957,0.95,0.95,0.84,0.82,0.81
60,0.057,0.065,0.047,0.936,0.928,0.942,0.774,0.752,0.798,0.046,0.056,0.038,0.955,0.95,0.947,0.83,0.82,0.8
61,0.056,0.065,0.047,0.934,0.927,0.94,0.768,0.751,0.795,0.046,0.055,0.035,0.952,0.95,0.952,0.82,0.82,0.82
62,0.056,0.064,0.046,0.936,0.928,0.941,0.776,0.751,0.796,0.046,0.055,0.038,0.957,0.95,0.955,0.84,0.82,0.83
63,0.056,0.064,0.046,0.936,0.928,0.941,0.776,0.752,0.796,0.045,0.054,0.037,0.955,0.95,0.955,0.83,0.82,0.83
64,0.056,0.064,0.046,0.934,0.928,0.941,0.769,0.753,0.794,0.045,0.054,0.038,0.952,0.95,0.952,0.82,0.82,0.82
65,0.056,0.063,0.046,0.936,0.928,0.941,0.776,0.754,0.797,0.045,0.054,0.036,0.955,0.95,0.955,0.83,0.82,0.83
66,0.056,0.063,0.046,0.936,0.928,0.942,0.775,0.753,0.798,0.045,0.052,0.036,0.955,0.95,0.955,0.83,0.82,0.83
67,0.055,0.063,0.046,0.935,0.929,0.941,0.774,0.756,0.798,0.044,0.054,0.036,0.955,0.95,0.955,0.83,0.82,0.83
68,0.055,0.062,0.046,0.936,0.929,0.941,0.775,0.754,0.797,0.045,0.052,0.037,0.955,0.95,0.952,0.83,0.82,0.82
69,0.055,0.062,0.046,0.936,0.929,0.942,0.775,0.755,0.797,0.044,0.052,0.036,0.955,0.95,0.955,0.83,0.82,0.83
70,0.055,0.062,0.046,0.935,0.929,0.942,0.774,0.754,0.802,0.044,0.051,0.035,0.955,0.95,0.955,0.83,0.82,0.83
71,0.055,0.061,0.046,0.936,0.929,0.944,0.775,0.756,0.803,0.044,0.052,0.036,0.955,0.95,0.95,0.83,0.82,0.81
72,0.055,0.061,0.046,0.935,0.929,0.94,0.774,0.755,0.797,0.043,0.051,0.038,0.955,0.95,0.955,0.83,0.82,0.83
73,0.054,0.061,0.046,0.935,0.93,0.943,0.772,0.757,0.803,0.044,0.05,0.035,0.952,0.95,0.952,0.82,0.82,0.82
74,0.054,0.061,0.046,0.936,0.929,0.942,0.774,0.756,0.8,0.043,0.051,0.037,0.955,0.95,0.952,0.83,0.82,0.82
75,0.054,0.06,0.046,0.936,0.929,0.943,0.775,0.756,0.801,0.044,0.05,0.035,0.955,0.95,0.955,0.83,0.82,0.83
76,0.054,0.06,0.046,0.936,0.93,0.943,0.774,0.758,0.801,0.043,0.05,0.035,0.955,0.952,0.955,0.83,0.83,0.83
77,0.054,0.06,0.046,0.935,0.93,0.943,0.772,0.756,0.801,0.043,0.05,0.035,0.952,0.952,0.955,0.82,0.83,0.83
78,0.054,0.06,0.046,0.935,0.93,0.944,0.773,0.757,0.803,0.043,0.05,0.035,0.955,0.95,0.955,0.83,0.82,0.83
79,0.054,0.06,0.046,0.936,0.93,0.942,0.777,0.758,0.802,0.043,0.049,0.035,0.955,0.952,0.955,0.83,0.83,0.83
80,0.054,0.059,0.046,0.936,0.93,0.943,0.775,0.757,0.8,0.043,0.049,0.038,0.955,0.952,0.95,0.83,0.83,0.81
81,0.054,0.059,0.046,0.935,0.93,0.944,0.772,0.756,0.801,0.042,0.048,0.035,0.955,0.952,0.955,0.83,0.83,0.83
82,0.053,0.059,0.046,0.936,0.93,0.944,0.774,0.756,0.807,0.042,0.049,0.035,0.955,0.952,0.955,0.83,0.83,0.83
83,0.053,0.059,0.046,0.936,0.93,0.942,0.774,0.758,0.796,0.043,0.048,0.037,0.955,0.952,0.95,0.83,0.83,0.81
84,0.053,0.059,0.046,0.936,0.93,0.944,0.774,0.757,0.803,0.042,0.048,0.035,0.955,0.952,0.955,0.83,0.83,0.83
85,0.053,0.058,0.046,0.935,0.93,0.944,0.773,0.757,0.804,0.042,0.048,0.036,0.955,0.952,0.955,0.83,0.83,0.83
86,0.053,0.058,0.045,0.935,0.93,0.944,0.774,0.757,0.799,0.042,0.048,0.035,0.955,0.952,0.957,0.83,0.83,0.84
87,0.053,0.058,0.045,0.936,0.93,0.943,0.774,0.758,0.803,0.041,0.048,0.035,0.955,0.952,0.952,0.83,0.83,0.82
88,0.053,0.058,0.045,0.935,0.93,0.944,0.772,0.757,0.804,0.041,0.046,0.036,0.955,0.952,0.952,0.83,0.83,0.82
89,0.053,0.058,0.045,0.936,0.93,0.944,0.774,0.757,0.805,0.042,0.047,0.034,0.955,0.952,0.955,0.83,0.83,0.83
90,0.053,0.058,0.045,0.936,0.931,0.944,0.774,0.758,0.803,0.041,0.046,0.035,0.955,0.952,0.955,0.83,0.83,0.83
91,0.053,0.058,0.045,0.935,0.931,0.945,0.773,0.759,0.807,0.041,0.047,0.036,0.955,0.952,0.955,0.83,0.83,0.83
92,0.053,0.057,0.045,0.935,0.93,0.944,0.771,0.755,0.805,0.041,0.046,0.035,0.955,0.952,0.952,0.83,0.83,0.82
93,0.053,0.057,0.045,0.935,0.93,0.945,0.771,0.756,0.807,0.041,0.047,0.035,0.952,0.952,0.955,0.82,0.83,0.83
94,0.052,0.057,0.045,0.935,0.93,0.945,0.773,0.756,0.808,0.041,0.046,0.034,0.955,0.952,0.955,0.83,0.83,0.83
95,0.052,0.057,0.045,0.937,0.931,0.945,0.777,0.761,0.807,0.041,0.047,0.034,0.955,0.952,0.955,0.83,0.83,0.83
96,0.052,0.057,0.045,0.935,0.931,0.944,0.774,0.757,0.804,0.041,0.046,0.036,0.955,0.952,0.952,0.83,0.83,0.82
97,0.052,0.057,0.045,0.936,0.931,0.944,0.774,0.759,0.806,0.04,0.045,0.034,0.955,0.952,0.955,0.83,0.83,0.83
98,0.052,0.057,0.045,0.936,0.931,0.944,0.775,0.759,0.808,0.04,0.046,0.035,0.955,0.952,0.952,0.83,0.83,0.82
99,0.052,0.056,0.045,0.936,0.931,0.944,0.775,0.759,0.806,0.041,0.045,0.035,0.955,0.952,0.955,0.83,0.83,0.83
