sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.6940000000000002,0.271,0.998,0.914,0.599,0.24050000000000002,0.9824999999999999,0.8074999999999999,1.0,0.9895000000000002,1.0,0.9865,1.0,0.9850000000000001
200,0.63375,0.22374999999999998,0.99825,0.9352500000000001,0.6100000000000001,0.24049999999999994,0.9872499999999997,0.8700000000000001,1.0,0.9737499999999999,1.0,0.9827499999999999,0.99975,0.9845
300,0.5285,0.19335,0.99855,0.9462999999999997,0.6003999999999998,0.23620000000000002,0.9941499999999998,0.8993,0.9996499999999999,0.9651500000000001,0.9997,0.97385,1.0,0.98155
500,0.5859,0.20600000000000002,0.9989999999999999,0.9577,0.6078999999999999,0.23900000000000002,0.9965999999999999,0.9216000000000001,0.9997999999999999,0.9681,0.9998999999999999,0.976,1.0,0.9824000000000002
