,sample,dina_aar,gdina_aar,npc_aar,gnpc_aar,mlp_aar,ann_aar,qnet_aar
0,100.0,0.664,0.98,0.756,0.946,0.994,0.996,0.994
1,100.0,0.79,0.968,0.752,0.954,0.998,0.996,0.996
2,100.0,0.794,0.972,0.77,0.962,1.0,1.0,1.0
3,100.0,0.652,0.99,0.74,0.966,0.996,0.994,0.994
4,100.0,0.734,0.978,0.742,0.92,1.0,0.998,0.998
5,100.0,0.77,0.992,0.742,0.974,0.998,0.996,0.996
6,100.0,0.762,0.966,0.76,0.926,0.998,0.994,0.998
7,100.0,0.796,0.99,0.764,0.958,0.996,0.998,0.998
8,100.0,0.792,0.976,0.754,0.954,0.998,1.0,0.998
9,100.0,0.914,0.994,0.742,0.972,0.996,0.996,0.996
10,100.0,0.832,0.974,0.752,0.958,0.998,0.996,0.996
11,100.0,0.842,0.992,0.752,0.95,0.998,0.996,1.0
12,100.0,0.876,0.98,0.762,0.96,0.998,1.0,0.996
13,100.0,0.756,0.986,0.738,0.962,0.998,0.996,0.994
14,100.0,0.768,0.99,0.754,0.974,0.998,1.0,1.0
15,100.0,0.67,0.98,0.752,0.96,1.0,1.0,1.0
16,100.0,0.84,0.984,0.728,0.964,0.998,0.996,0.996
17,100.0,0.806,0.986,0.766,0.964,0.996,0.996,0.998
18,100.0,0.81,0.99,0.75,0.964,1.0,1.0,0.996
19,100.0,0.808,0.98,0.76,0.972,1.0,0.998,0.996
20,200.0,0.776,0.986,0.768,0.97,0.995,0.996,0.994
21,200.0,0.773,0.981,0.754,0.967,0.995,0.994,0.997
22,200.0,0.774,0.983,0.746,0.974,0.993,0.996,0.995
23,200.0,0.743,0.974,0.75,0.969,0.989,0.996,0.996
24,200.0,0.769,0.982,0.739,0.973,0.996,0.998,0.997
25,200.0,0.785,0.986,0.755,0.969,0.999,0.998,0.998
26,200.0,0.776,0.99,0.771,0.97,0.994,0.997,0.996
27,200.0,0.74,0.991,0.757,0.969,0.995,0.997,0.997
28,200.0,0.668,0.984,0.732,0.981,0.992,0.994,0.997
29,200.0,0.744,0.999,0.755,0.963,0.999,0.999,1.0
30,200.0,0.785,0.99,0.755,0.978,0.996,0.995,0.996
31,200.0,0.811,0.985,0.753,0.977,0.993,0.996,0.998
32,200.0,0.794,0.987,0.755,0.981,0.996,0.998,0.997
33,200.0,0.752,0.987,0.763,0.952,0.993,0.997,0.997
34,200.0,0.757,0.987,0.76,0.962,0.993,0.996,0.998
35,200.0,0.712,0.991,0.759,0.968,0.991,0.996,0.996
36,200.0,0.752,0.977,0.768,0.973,0.995,0.997,0.997
37,200.0,0.82,0.992,0.761,0.978,0.996,0.997,0.997
38,200.0,0.8,0.992,0.745,0.971,0.997,0.996,0.995
39,200.0,0.771,0.99,0.767,0.983,0.998,0.998,0.999
40,300.0,0.653,0.99,0.75,0.975,0.993,0.994,0.997
41,300.0,0.761,0.991,0.757,0.982,0.994,0.996,0.997
42,300.0,0.647,0.992,0.76,0.973,0.991,0.995,0.996
43,300.0,0.757,0.985,0.749,0.977,0.986,0.993,0.995
44,300.0,0.666,0.992,0.756,0.978,0.993,0.996,0.998
45,300.0,0.771,0.993,0.76,0.983,0.991,0.993,0.998
46,300.0,0.689,0.993,0.741,0.979,0.997,0.998,0.999
47,300.0,0.737,0.985,0.745,0.977,0.995,0.992,0.996
48,300.0,0.66,0.991,0.747,0.981,0.995,0.994,0.994
49,300.0,0.756,0.993,0.751,0.981,0.995,0.998,0.998
50,300.0,0.758,0.99,0.745,0.98,0.995,0.995,0.995
51,300.0,0.751,0.991,0.746,0.977,0.994,0.993,0.995
52,300.0,0.694,0.982,0.756,0.979,0.991,0.992,0.992
53,300.0,0.771,0.995,0.766,0.985,0.994,0.997,0.995
54,300.0,0.733,0.981,0.755,0.972,0.99,0.993,0.996
55,300.0,0.771,0.991,0.751,0.985,0.995,0.997,0.998
56,300.0,0.749,0.985,0.755,0.98,0.991,0.993,0.995
57,300.0,0.722,0.985,0.751,0.97,0.99,0.992,0.995
58,300.0,0.757,0.983,0.752,0.977,0.994,0.995,0.998
59,300.0,0.749,0.992,0.752,0.981,0.996,0.997,0.998
60,500.0,0.76,0.99,0.75,0.981,0.993,0.996,0.996
61,500.0,0.752,0.993,0.754,0.985,0.996,0.998,0.999
62,500.0,0.755,0.99,0.751,0.979,0.994,0.995,0.996
63,500.0,0.763,0.991,0.755,0.983,0.993,0.995,0.996
64,500.0,0.758,0.993,0.753,0.988,0.993,0.996,0.997
65,500.0,0.76,0.992,0.764,0.98,0.994,0.995,0.996
66,500.0,0.739,0.988,0.753,0.978,0.993,0.995,0.996
67,500.0,0.779,0.993,0.767,0.985,0.994,0.996,0.997
68,500.0,0.764,0.992,0.756,0.986,0.994,0.996,0.996
69,500.0,0.762,0.984,0.758,0.98,0.993,0.994,0.997
70,500.0,0.747,0.993,0.744,0.984,0.994,0.995,0.996
71,500.0,0.648,0.995,0.754,0.987,0.996,0.998,0.998
72,500.0,0.757,0.992,0.749,0.982,0.995,0.996,0.997
73,500.0,0.794,0.991,0.75,0.987,0.992,0.992,0.996
74,500.0,0.755,0.987,0.759,0.979,0.991,0.994,0.996
75,500.0,0.743,0.99,0.764,0.984,0.992,0.994,0.996
76,500.0,0.742,0.993,0.75,0.989,0.991,0.992,0.995
77,500.0,0.764,0.994,0.755,0.983,0.996,0.996,0.998
78,500.0,0.764,0.992,0.756,0.984,0.993,0.995,0.996
79,500.0,0.724,0.994,0.754,0.987,0.995,0.996,0.997
