,sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
60,500,0.468,0.124,0.876,0.536,0.63,0.242,0.842,0.438,0.934,0.622,0.956,0.692,0.976,0.764
61,500,0.5,0.134,0.894,0.546,0.618,0.212,0.868,0.438,0.94,0.624,0.968,0.712,0.972,0.776
62,500,0.504,0.148,0.898,0.578,0.596,0.2,0.868,0.438,0.942,0.646,0.956,0.678,0.986,0.764
63,500,0.532,0.166,0.834,0.486,0.62,0.246,0.85,0.394,0.934,0.614,0.956,0.66,0.966,0.728
64,500,0.468,0.132,0.872,0.506,0.594,0.218,0.826,0.432,0.938,0.55,0.95,0.632,0.976,0.746
65,500,0.478,0.144,0.808,0.428,0.624,0.178,0.828,0.38,0.942,0.622,0.964,0.642,0.97,0.74
66,500,0.56,0.14,0.87,0.518,0.666,0.234,0.844,0.402,0.948,0.654,0.966,0.7,0.982,0.764
67,500,0.402,0.114,0.842,0.5,0.608,0.208,0.83,0.438,0.944,0.628,0.962,0.694,0.97,0.766
68,500,0.516,0.148,0.892,0.518,0.61,0.222,0.844,0.422,0.952,0.638,0.972,0.704,0.974,0.754
69,500,0.398,0.1,0.89,0.506,0.598,0.212,0.846,0.412,0.954,0.636,0.972,0.66,0.98,0.73
70,500,0.476,0.152,0.78,0.336,0.594,0.218,0.836,0.416,0.934,0.6,0.948,0.666,0.97,0.73
71,500,0.448,0.122,0.858,0.462,0.622,0.246,0.834,0.42,0.92,0.614,0.95,0.668,0.972,0.734
72,500,0.536,0.156,0.856,0.466,0.642,0.22,0.852,0.454,0.954,0.616,0.958,0.682,0.982,0.772
73,500,0.452,0.108,0.904,0.572,0.622,0.242,0.86,0.43,0.948,0.648,0.964,0.714,0.972,0.706
74,500,0.524,0.142,0.892,0.514,0.598,0.202,0.856,0.426,0.916,0.586,0.948,0.626,0.968,0.754
75,500,0.476,0.12,0.89,0.534,0.632,0.224,0.836,0.448,0.934,0.65,0.948,0.696,0.972,0.788
76,500,0.466,0.136,0.886,0.546,0.62,0.238,0.854,0.468,0.93,0.664,0.952,0.7,0.974,0.728
77,500,0.504,0.156,0.846,0.458,0.626,0.214,0.818,0.408,0.936,0.628,0.936,0.676,0.968,0.716
78,500,0.48,0.13,0.848,0.482,0.584,0.21,0.824,0.398,0.928,0.62,0.954,0.67,0.976,0.736
79,500,0.54,0.192,0.846,0.482,0.618,0.256,0.808,0.39,0.92,0.624,0.942,0.672,0.966,0.726
