,sample,dina_aar,gdina_aar,npc_aar,gnpc_aar,mlp_aar,ann_aar,qnet_aar
0,100.0,0.77,0.82,0.774,0.838,0.95,0.946,0.972
1,100.0,0.756,0.808,0.732,0.822,0.948,0.948,0.97
2,100.0,0.714,0.774,0.746,0.822,0.94,0.938,0.96
3,100.0,0.72,0.784,0.744,0.818,0.938,0.938,0.964
4,100.0,0.672,0.792,0.748,0.852,0.948,0.952,0.96
5,100.0,0.692,0.828,0.75,0.844,0.954,0.95,0.97
6,100.0,0.744,0.822,0.768,0.84,0.964,0.956,0.982
7,100.0,0.74,0.838,0.768,0.85,0.952,0.948,0.978
8,100.0,0.764,0.856,0.786,0.84,0.952,0.948,0.974
9,100.0,0.74,0.856,0.754,0.844,0.95,0.948,0.968
10,100.0,0.724,0.838,0.738,0.816,0.926,0.924,0.962
11,100.0,0.716,0.784,0.758,0.84,0.946,0.938,0.964
12,100.0,0.758,0.816,0.76,0.854,0.958,0.964,0.968
13,100.0,0.69,0.864,0.734,0.828,0.942,0.948,0.968
14,100.0,0.748,0.816,0.772,0.824,0.952,0.956,0.97
15,100.0,0.748,0.838,0.748,0.836,0.946,0.954,0.976
16,100.0,0.702,0.81,0.754,0.83,0.94,0.954,0.97
17,100.0,0.694,0.836,0.748,0.822,0.97,0.972,0.976
18,100.0,0.77,0.804,0.794,0.846,0.946,0.96,0.97
19,100.0,0.82,0.832,0.766,0.86,0.944,0.962,0.974
20,200.0,0.706,0.829,0.764,0.858,0.931,0.937,0.961
21,200.0,0.712,0.833,0.765,0.853,0.942,0.949,0.972
22,200.0,0.734,0.849,0.748,0.837,0.949,0.955,0.977
23,200.0,0.722,0.848,0.741,0.833,0.95,0.965,0.973
24,200.0,0.709,0.869,0.754,0.85,0.938,0.947,0.962
25,200.0,0.694,0.853,0.741,0.856,0.942,0.955,0.97
26,200.0,0.708,0.843,0.762,0.855,0.932,0.948,0.966
27,200.0,0.758,0.847,0.752,0.837,0.938,0.952,0.97
28,200.0,0.716,0.859,0.757,0.851,0.94,0.95,0.969
29,200.0,0.665,0.842,0.741,0.857,0.946,0.955,0.972
30,200.0,0.671,0.824,0.734,0.838,0.939,0.944,0.963
31,200.0,0.69,0.836,0.742,0.856,0.942,0.946,0.968
32,200.0,0.769,0.869,0.759,0.877,0.958,0.967,0.977
33,200.0,0.683,0.821,0.728,0.841,0.941,0.951,0.965
34,200.0,0.684,0.841,0.742,0.826,0.939,0.944,0.962
35,200.0,0.709,0.864,0.763,0.859,0.949,0.963,0.971
36,200.0,0.704,0.815,0.759,0.82,0.934,0.941,0.956
37,200.0,0.724,0.824,0.754,0.857,0.95,0.957,0.968
38,200.0,0.694,0.804,0.754,0.842,0.939,0.949,0.961
39,200.0,0.678,0.825,0.744,0.836,0.936,0.942,0.966
40,300.0,0.701,0.861,0.767,0.847,0.919,0.935,0.951
41,300.0,0.723,0.855,0.747,0.849,0.933,0.946,0.961
42,300.0,0.723,0.869,0.756,0.86,0.926,0.945,0.955
43,300.0,0.7,0.849,0.753,0.841,0.925,0.941,0.965
44,300.0,0.721,0.855,0.761,0.842,0.931,0.95,0.959
45,300.0,0.711,0.861,0.754,0.839,0.923,0.94,0.959
46,300.0,0.701,0.829,0.749,0.843,0.922,0.939,0.963
47,300.0,0.739,0.845,0.758,0.848,0.929,0.943,0.961
48,300.0,0.7,0.832,0.765,0.869,0.927,0.943,0.961
49,300.0,0.743,0.873,0.748,0.855,0.917,0.935,0.957
50,300.0,0.704,0.834,0.746,0.849,0.923,0.935,0.957
51,300.0,0.743,0.806,0.764,0.826,0.913,0.926,0.954
52,300.0,0.733,0.868,0.749,0.85,0.929,0.943,0.961
53,300.0,0.743,0.839,0.744,0.828,0.899,0.919,0.952
54,300.0,0.721,0.839,0.751,0.829,0.92,0.933,0.959
55,300.0,0.691,0.811,0.743,0.835,0.909,0.927,0.951
56,300.0,0.721,0.865,0.749,0.862,0.93,0.941,0.962
57,300.0,0.715,0.865,0.75,0.845,0.917,0.935,0.952
58,300.0,0.737,0.833,0.752,0.829,0.92,0.932,0.954
59,300.0,0.708,0.874,0.755,0.847,0.935,0.943,0.965
60,500.0,0.69,0.88,0.756,0.85,0.91,0.929,0.948
61,500.0,0.701,0.886,0.749,0.857,0.912,0.935,0.949
62,500.0,0.702,0.891,0.742,0.857,0.916,0.926,0.95
63,500.0,0.719,0.857,0.76,0.843,0.909,0.922,0.938
64,500.0,0.684,0.87,0.744,0.841,0.896,0.916,0.944
65,500.0,0.695,0.841,0.742,0.836,0.913,0.921,0.942
66,500.0,0.72,0.873,0.768,0.845,0.919,0.932,0.949
67,500.0,0.66,0.863,0.747,0.847,0.914,0.931,0.947
68,500.0,0.709,0.88,0.748,0.849,0.917,0.935,0.946
69,500.0,0.667,0.872,0.744,0.846,0.917,0.926,0.942
70,500.0,0.693,0.816,0.743,0.844,0.905,0.922,0.94
71,500.0,0.677,0.858,0.758,0.846,0.907,0.923,0.941
72,500.0,0.722,0.861,0.76,0.858,0.914,0.928,0.951
73,500.0,0.686,0.892,0.754,0.852,0.919,0.936,0.935
74,500.0,0.708,0.877,0.744,0.851,0.9,0.915,0.944
75,500.0,0.694,0.882,0.758,0.848,0.916,0.928,0.952
76,500.0,0.686,0.884,0.755,0.859,0.919,0.93,0.94
77,500.0,0.707,0.854,0.754,0.835,0.911,0.922,0.936
78,500.0,0.694,0.859,0.744,0.838,0.909,0.924,0.942
79,500.0,0.724,0.86,0.761,0.834,0.908,0.922,0.938
