sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.5855000000000001,0.21150000000000002,0.7910000000000001,0.362,0.6205,0.23349999999999999,0.807,0.4010000000000001,0.9825000000000002,0.7595000000000001,0.986,0.7659999999999999,0.9935,0.8555000000000001
200,0.5119999999999999,0.14625000000000002,0.8135000000000001,0.42074999999999996,0.61325,0.21600000000000005,0.8367499999999998,0.434,0.9737499999999999,0.7357500000000001,0.9797499999999999,0.7752499999999999,0.99025,0.8472500000000001
300,0.5424499999999999,0.16374999999999998,0.8254999999999999,0.4561,0.6186499999999999,0.22400000000000003,0.83025,0.4246499999999999,0.9508999999999996,0.6638,0.97155,0.7161500000000001,0.9886000000000001,0.8014999999999999
500,0.48640000000000005,0.13820000000000005,0.8641,0.4986999999999999,0.6161,0.22210000000000002,0.8412,0.4226000000000001,0.9374000000000002,0.6242,0.9561,0.6772,0.9735999999999999,0.7461
