,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.238,0.255,0.258,0.625,0.5,0.583,0.125,0.125,0.125,0.227,0.273,0.241,0.683,0.347,0.657,0.33,0.01,0.26
1,0.234,0.254,0.246,0.667,0.5,0.583,0.125,0.125,0.125,0.223,0.271,0.24,0.71,0.347,0.663,0.36,0.01,0.27
2,0.23,0.253,0.243,0.708,0.5,0.625,0.125,0.125,0.125,0.219,0.268,0.239,0.753,0.347,0.667,0.37,0.01,0.29
3,0.226,0.252,0.241,0.708,0.542,0.667,0.125,0.125,0.25,0.216,0.266,0.238,0.77,0.357,0.66,0.41,0.01,0.3
4,0.222,0.251,0.238,0.708,0.5,0.625,0.125,0.125,0.25,0.213,0.263,0.237,0.77,0.353,0.607,0.41,0.03,0.28
5,0.218,0.25,0.236,0.833,0.542,0.625,0.5,0.25,0.25,0.21,0.261,0.236,0.86,0.373,0.59,0.68,0.06,0.26
6,0.214,0.249,0.234,0.833,0.667,0.667,0.5,0.375,0.25,0.207,0.259,0.235,0.86,0.45,0.607,0.68,0.15,0.27
7,0.211,0.248,0.232,0.833,0.625,0.708,0.5,0.25,0.375,0.204,0.257,0.234,0.867,0.53,0.623,0.69,0.2,0.33
8,0.207,0.247,0.229,0.833,0.708,0.708,0.5,0.25,0.375,0.201,0.255,0.232,0.87,0.627,0.627,0.71,0.21,0.34
9,0.203,0.246,0.227,0.833,0.667,0.792,0.5,0.125,0.5,0.198,0.253,0.23,0.877,0.583,0.64,0.71,0.13,0.38
10,0.2,0.246,0.225,0.875,0.667,0.792,0.625,0.125,0.5,0.196,0.251,0.228,0.887,0.563,0.633,0.74,0.07,0.38
11,0.196,0.245,0.222,0.917,0.667,0.792,0.75,0.125,0.5,0.193,0.249,0.226,0.907,0.563,0.637,0.8,0.06,0.39
12,0.193,0.244,0.22,0.917,0.667,0.792,0.75,0.125,0.5,0.19,0.248,0.224,0.903,0.583,0.647,0.8,0.06,0.39
13,0.19,0.243,0.217,1.0,0.667,0.792,1.0,0.125,0.5,0.187,0.246,0.222,0.933,0.59,0.66,0.86,0.06,0.39
14,0.186,0.242,0.215,1.0,0.667,0.792,1.0,0.125,0.5,0.184,0.245,0.22,0.94,0.587,0.66,0.87,0.06,0.39
15,0.183,0.241,0.212,1.0,0.708,0.833,1.0,0.25,0.5,0.182,0.244,0.218,0.94,0.597,0.7,0.87,0.1,0.39
16,0.18,0.241,0.209,1.0,0.667,0.833,1.0,0.25,0.5,0.179,0.242,0.215,0.94,0.577,0.703,0.87,0.08,0.39
17,0.177,0.24,0.207,1.0,0.667,0.833,1.0,0.25,0.5,0.176,0.241,0.213,0.943,0.603,0.713,0.87,0.09,0.39
18,0.174,0.239,0.204,1.0,0.708,0.875,1.0,0.25,0.625,0.174,0.24,0.211,0.943,0.61,0.737,0.87,0.11,0.45
19,0.171,0.238,0.201,1.0,0.708,0.875,1.0,0.25,0.625,0.171,0.239,0.208,0.95,0.62,0.743,0.88,0.13,0.45
20,0.168,0.237,0.198,1.0,0.75,0.833,1.0,0.375,0.5,0.168,0.238,0.206,0.947,0.65,0.727,0.87,0.27,0.4
21,0.165,0.236,0.195,1.0,0.792,0.833,1.0,0.5,0.5,0.166,0.238,0.203,0.947,0.7,0.723,0.87,0.42,0.39
22,0.162,0.235,0.192,1.0,0.75,0.875,1.0,0.375,0.625,0.164,0.237,0.2,0.943,0.71,0.73,0.86,0.45,0.4
23,0.159,0.234,0.189,1.0,0.75,0.875,1.0,0.375,0.625,0.161,0.236,0.198,0.943,0.703,0.733,0.86,0.43,0.41
24,0.157,0.233,0.186,1.0,0.792,0.875,1.0,0.5,0.625,0.159,0.235,0.195,0.943,0.743,0.737,0.86,0.55,0.41
25,0.154,0.232,0.183,1.0,0.833,0.917,1.0,0.5,0.75,0.157,0.234,0.192,0.943,0.773,0.75,0.86,0.58,0.43
26,0.151,0.231,0.18,1.0,0.833,0.917,1.0,0.5,0.75,0.155,0.233,0.189,0.943,0.773,0.757,0.86,0.58,0.43
27,0.149,0.23,0.177,1.0,0.833,0.917,1.0,0.5,0.75,0.153,0.232,0.185,0.943,0.777,0.76,0.86,0.58,0.44
28,0.147,0.229,0.173,1.0,0.833,0.917,1.0,0.5,0.75,0.151,0.231,0.182,0.943,0.783,0.787,0.86,0.58,0.49
29,0.144,0.227,0.17,1.0,0.833,0.917,1.0,0.5,0.75,0.149,0.23,0.179,0.943,0.783,0.79,0.86,0.58,0.5
30,0.142,0.226,0.167,1.0,0.833,0.917,1.0,0.5,0.75,0.147,0.23,0.176,0.943,0.787,0.797,0.86,0.58,0.52
31,0.14,0.225,0.164,1.0,0.833,0.917,1.0,0.5,0.75,0.145,0.229,0.172,0.94,0.793,0.817,0.86,0.57,0.56
32,0.137,0.224,0.161,1.0,0.833,0.917,1.0,0.5,0.75,0.144,0.227,0.169,0.943,0.787,0.817,0.87,0.55,0.56
33,0.135,0.223,0.158,1.0,0.833,0.917,1.0,0.5,0.75,0.142,0.226,0.166,0.943,0.767,0.83,0.87,0.49,0.59
34,0.133,0.222,0.155,1.0,0.833,0.917,1.0,0.5,0.75,0.14,0.225,0.163,0.94,0.767,0.84,0.87,0.49,0.62
35,0.131,0.22,0.152,1.0,0.833,0.917,1.0,0.5,0.75,0.139,0.224,0.16,0.94,0.747,0.847,0.87,0.43,0.63
36,0.129,0.219,0.149,1.0,0.833,0.917,1.0,0.5,0.75,0.137,0.223,0.156,0.943,0.743,0.853,0.87,0.41,0.64
37,0.127,0.218,0.146,1.0,0.833,0.917,1.0,0.5,0.75,0.136,0.222,0.153,0.943,0.743,0.853,0.87,0.41,0.64
38,0.125,0.217,0.143,1.0,0.833,0.917,1.0,0.5,0.75,0.134,0.221,0.15,0.943,0.75,0.853,0.87,0.42,0.64
39,0.123,0.215,0.14,1.0,0.875,0.875,1.0,0.625,0.625,0.133,0.22,0.147,0.943,0.757,0.857,0.87,0.44,0.65
40,0.122,0.214,0.137,1.0,0.875,0.875,1.0,0.625,0.625,0.131,0.219,0.144,0.943,0.767,0.86,0.87,0.47,0.66
41,0.12,0.213,0.134,1.0,0.875,0.875,1.0,0.625,0.625,0.13,0.218,0.141,0.943,0.767,0.86,0.87,0.47,0.66
42,0.118,0.212,0.131,1.0,0.875,0.875,1.0,0.625,0.625,0.129,0.217,0.138,0.943,0.773,0.86,0.87,0.47,0.66
43,0.117,0.21,0.128,1.0,0.875,0.875,1.0,0.625,0.625,0.127,0.216,0.135,0.94,0.797,0.857,0.87,0.5,0.65
44,0.115,0.209,0.125,1.0,0.875,0.875,1.0,0.625,0.625,0.126,0.215,0.132,0.94,0.797,0.857,0.87,0.5,0.65
45,0.113,0.208,0.122,1.0,0.875,0.875,1.0,0.625,0.625,0.125,0.214,0.129,0.947,0.797,0.86,0.87,0.5,0.66
46,0.112,0.206,0.119,1.0,0.875,0.875,1.0,0.625,0.625,0.124,0.213,0.126,0.943,0.793,0.86,0.87,0.49,0.66
47,0.11,0.205,0.116,1.0,0.875,0.875,1.0,0.625,0.625,0.123,0.212,0.123,0.943,0.793,0.863,0.87,0.49,0.67
48,0.109,0.204,0.113,1.0,0.875,0.875,1.0,0.625,0.625,0.121,0.211,0.121,0.943,0.793,0.863,0.87,0.49,0.67
49,0.107,0.202,0.111,1.0,0.875,0.875,1.0,0.625,0.625,0.12,0.21,0.118,0.94,0.797,0.863,0.87,0.49,0.67
50,0.106,0.201,0.108,1.0,0.875,0.875,1.0,0.625,0.625,0.119,0.209,0.116,0.94,0.8,0.867,0.87,0.5,0.67
51,0.105,0.2,0.105,1.0,0.917,0.875,1.0,0.75,0.625,0.118,0.208,0.113,0.94,0.82,0.867,0.87,0.56,0.67
52,0.103,0.198,0.102,1.0,0.917,0.875,1.0,0.75,0.625,0.117,0.207,0.111,0.94,0.82,0.867,0.87,0.56,0.67
53,0.102,0.197,0.1,1.0,0.917,0.917,1.0,0.75,0.75,0.116,0.206,0.109,0.94,0.813,0.867,0.87,0.54,0.67
54,0.101,0.196,0.097,1.0,0.917,0.917,1.0,0.75,0.75,0.115,0.205,0.107,0.94,0.813,0.867,0.87,0.54,0.67
55,0.1,0.195,0.094,1.0,0.917,0.917,1.0,0.75,0.75,0.114,0.204,0.105,0.94,0.81,0.867,0.87,0.53,0.67
56,0.098,0.193,0.092,1.0,0.917,0.917,1.0,0.75,0.75,0.113,0.203,0.103,0.94,0.81,0.867,0.87,0.53,0.67
57,0.097,0.192,0.089,1.0,0.917,0.917,1.0,0.75,0.75,0.113,0.203,0.101,0.94,0.807,0.867,0.87,0.52,0.67
58,0.096,0.191,0.087,1.0,0.917,0.917,1.0,0.75,0.75,0.112,0.202,0.099,0.94,0.797,0.867,0.87,0.49,0.67
59,0.095,0.189,0.085,1.0,0.917,0.917,1.0,0.75,0.75,0.111,0.201,0.098,0.94,0.797,0.87,0.87,0.49,0.67
60,0.094,0.188,0.082,1.0,0.917,0.917,1.0,0.75,0.75,0.11,0.2,0.096,0.94,0.8,0.87,0.87,0.49,0.67
61,0.093,0.187,0.08,1.0,0.917,0.917,1.0,0.75,0.75,0.109,0.199,0.095,0.94,0.8,0.873,0.87,0.49,0.68
62,0.092,0.186,0.078,1.0,0.917,0.958,1.0,0.75,0.875,0.109,0.198,0.094,0.94,0.8,0.913,0.87,0.49,0.8
63,0.091,0.184,0.076,1.0,0.917,0.958,1.0,0.75,0.875,0.108,0.197,0.092,0.94,0.8,0.913,0.87,0.49,0.8
64,0.09,0.183,0.074,1.0,0.917,0.958,1.0,0.75,0.875,0.107,0.196,0.091,0.94,0.8,0.91,0.87,0.49,0.8
65,0.089,0.182,0.072,1.0,0.917,0.958,1.0,0.75,0.875,0.106,0.195,0.09,0.94,0.8,0.91,0.87,0.49,0.8
66,0.088,0.181,0.07,1.0,0.917,0.958,1.0,0.75,0.875,0.106,0.195,0.089,0.94,0.8,0.91,0.87,0.49,0.8
67,0.087,0.179,0.068,1.0,0.917,0.958,1.0,0.75,0.875,0.105,0.194,0.088,0.94,0.8,0.91,0.87,0.49,0.8
68,0.086,0.178,0.066,1.0,0.917,0.958,1.0,0.75,0.875,0.104,0.193,0.087,0.94,0.807,0.91,0.87,0.49,0.8
69,0.085,0.177,0.064,1.0,0.875,1.0,1.0,0.625,1.0,0.104,0.192,0.086,0.94,0.763,0.92,0.87,0.36,0.83
70,0.084,0.176,0.062,1.0,0.875,1.0,1.0,0.625,1.0,0.103,0.191,0.085,0.94,0.763,0.92,0.87,0.36,0.83
71,0.083,0.175,0.06,1.0,0.875,1.0,1.0,0.625,1.0,0.102,0.191,0.083,0.94,0.763,0.92,0.87,0.36,0.83
72,0.082,0.174,0.059,1.0,0.875,1.0,1.0,0.625,1.0,0.102,0.19,0.082,0.94,0.763,0.923,0.87,0.36,0.83
73,0.082,0.172,0.057,1.0,0.875,1.0,1.0,0.625,1.0,0.101,0.189,0.081,0.94,0.763,0.923,0.87,0.36,0.83
74,0.081,0.171,0.055,1.0,0.875,1.0,1.0,0.625,1.0,0.101,0.188,0.08,0.94,0.763,0.923,0.87,0.36,0.83
75,0.08,0.17,0.054,1.0,0.875,1.0,1.0,0.625,1.0,0.1,0.188,0.079,0.94,0.763,0.917,0.87,0.36,0.81
76,0.079,0.169,0.052,1.0,0.875,1.0,1.0,0.625,1.0,0.1,0.187,0.078,0.94,0.76,0.917,0.87,0.35,0.81
77,0.078,0.168,0.051,1.0,0.875,1.0,1.0,0.625,1.0,0.099,0.186,0.077,0.94,0.76,0.917,0.87,0.35,0.81
78,0.078,0.167,0.049,1.0,0.875,1.0,1.0,0.625,1.0,0.099,0.185,0.076,0.94,0.76,0.917,0.87,0.35,0.81
79,0.077,0.166,0.048,1.0,0.875,1.0,1.0,0.625,1.0,0.098,0.185,0.075,0.94,0.76,0.917,0.87,0.35,0.81
80,0.076,0.165,0.047,1.0,0.875,1.0,1.0,0.625,1.0,0.097,0.184,0.074,0.94,0.76,0.91,0.87,0.35,0.81
81,0.075,0.164,0.045,1.0,0.875,1.0,1.0,0.625,1.0,0.097,0.183,0.074,0.94,0.76,0.91,0.87,0.35,0.81
82,0.075,0.163,0.044,1.0,0.875,1.0,1.0,0.625,1.0,0.097,0.183,0.073,0.94,0.76,0.91,0.87,0.35,0.81
83,0.074,0.162,0.043,1.0,0.875,1.0,1.0,0.625,1.0,0.096,0.182,0.072,0.94,0.76,0.9,0.87,0.35,0.81
84,0.073,0.161,0.041,1.0,0.875,1.0,1.0,0.625,1.0,0.096,0.181,0.071,0.94,0.76,0.9,0.87,0.35,0.81
