,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
40,0.099,0.202,0.135,1.0,0.812,0.863,1.0,0.469,0.438,0.252,0.224,0.308,0.572,0.572,0.518,0.1,0.09,0.09
41,0.097,0.2,0.132,1.0,0.825,0.869,1.0,0.469,0.469,0.254,0.224,0.308,0.572,0.576,0.52,0.1,0.09,0.09
42,0.096,0.199,0.129,1.0,0.825,0.875,1.0,0.469,0.5,0.255,0.224,0.308,0.572,0.576,0.522,0.1,0.09,0.09
43,0.094,0.197,0.127,1.0,0.825,0.881,1.0,0.469,0.531,0.256,0.223,0.308,0.572,0.586,0.524,0.1,0.1,0.09
44,0.093,0.196,0.124,1.0,0.825,0.887,1.0,0.469,0.531,0.257,0.223,0.308,0.57,0.586,0.524,0.1,0.1,0.09
45,0.092,0.195,0.121,1.0,0.825,0.894,1.0,0.469,0.562,0.259,0.223,0.308,0.57,0.586,0.524,0.1,0.1,0.09
46,0.09,0.193,0.119,1.0,0.825,0.894,1.0,0.469,0.562,0.26,0.223,0.308,0.57,0.586,0.524,0.1,0.1,0.09
47,0.089,0.192,0.116,1.0,0.825,0.906,1.0,0.469,0.625,0.261,0.223,0.308,0.57,0.584,0.526,0.1,0.09,0.09
48,0.088,0.19,0.113,1.0,0.831,0.919,1.0,0.5,0.688,0.262,0.223,0.308,0.57,0.578,0.528,0.1,0.09,0.09
49,0.087,0.189,0.111,1.0,0.838,0.919,1.0,0.531,0.688,0.263,0.223,0.308,0.57,0.578,0.528,0.1,0.09,0.09
50,0.085,0.188,0.108,1.0,0.838,0.919,1.0,0.531,0.656,0.264,0.223,0.309,0.57,0.582,0.528,0.1,0.11,0.09
51,0.084,0.186,0.105,1.0,0.844,0.925,1.0,0.531,0.688,0.265,0.223,0.309,0.57,0.576,0.528,0.1,0.11,0.09
52,0.083,0.185,0.102,1.0,0.85,0.938,1.0,0.562,0.75,0.267,0.224,0.31,0.57,0.574,0.528,0.1,0.11,0.09
53,0.082,0.184,0.1,1.0,0.85,0.938,1.0,0.562,0.75,0.268,0.224,0.311,0.57,0.572,0.528,0.1,0.11,0.09
54,0.081,0.182,0.097,1.0,0.856,0.95,1.0,0.562,0.781,0.269,0.224,0.311,0.57,0.57,0.53,0.1,0.11,0.09
55,0.08,0.181,0.094,1.0,0.856,0.95,1.0,0.562,0.781,0.27,0.224,0.312,0.572,0.57,0.53,0.1,0.11,0.08
56,0.079,0.18,0.092,1.0,0.856,0.95,1.0,0.562,0.781,0.271,0.225,0.313,0.572,0.568,0.53,0.1,0.11,0.08
57,0.078,0.178,0.089,1.0,0.856,0.95,1.0,0.562,0.781,0.271,0.225,0.313,0.572,0.57,0.534,0.1,0.11,0.08
58,0.077,0.177,0.086,1.0,0.863,0.956,1.0,0.562,0.812,0.272,0.225,0.313,0.572,0.572,0.538,0.1,0.11,0.08
59,0.076,0.176,0.083,1.0,0.863,0.969,1.0,0.562,0.875,0.273,0.226,0.314,0.572,0.57,0.538,0.1,0.11,0.08
60,0.075,0.174,0.081,1.0,0.869,0.969,1.0,0.594,0.875,0.274,0.226,0.314,0.574,0.572,0.536,0.1,0.11,0.08
61,0.074,0.173,0.078,1.0,0.869,0.969,1.0,0.594,0.875,0.275,0.227,0.314,0.574,0.57,0.538,0.1,0.11,0.09
62,0.073,0.172,0.075,1.0,0.869,0.981,1.0,0.594,0.906,0.275,0.227,0.315,0.574,0.57,0.542,0.1,0.11,0.09
63,0.073,0.17,0.073,1.0,0.869,0.981,1.0,0.594,0.906,0.276,0.228,0.315,0.574,0.57,0.546,0.1,0.11,0.09
64,0.072,0.169,0.07,1.0,0.869,0.975,1.0,0.594,0.906,0.277,0.228,0.316,0.574,0.57,0.548,0.1,0.11,0.09
65,0.071,0.168,0.068,1.0,0.863,0.975,1.0,0.562,0.906,0.277,0.229,0.317,0.574,0.568,0.55,0.1,0.11,0.09
66,0.07,0.167,0.066,1.0,0.856,0.975,1.0,0.562,0.906,0.278,0.229,0.317,0.574,0.568,0.552,0.1,0.11,0.09
67,0.069,0.165,0.064,1.0,0.856,0.969,1.0,0.562,0.875,0.278,0.23,0.318,0.574,0.568,0.552,0.1,0.11,0.09
68,0.069,0.164,0.062,1.0,0.856,0.975,1.0,0.562,0.875,0.279,0.23,0.319,0.574,0.568,0.554,0.1,0.11,0.09
69,0.068,0.163,0.06,1.0,0.856,0.975,1.0,0.562,0.875,0.279,0.231,0.319,0.576,0.57,0.554,0.1,0.11,0.09
70,0.067,0.162,0.058,1.0,0.856,0.981,1.0,0.562,0.906,0.28,0.231,0.32,0.576,0.572,0.552,0.1,0.11,0.09
71,0.066,0.161,0.056,1.0,0.856,0.981,1.0,0.562,0.906,0.28,0.232,0.321,0.576,0.572,0.55,0.1,0.11,0.09
72,0.066,0.159,0.055,1.0,0.856,0.988,1.0,0.562,0.938,0.281,0.232,0.322,0.576,0.574,0.554,0.1,0.11,0.09
73,0.065,0.158,0.053,1.0,0.856,0.988,1.0,0.562,0.938,0.281,0.232,0.323,0.576,0.574,0.556,0.1,0.11,0.09
74,0.064,0.157,0.051,1.0,0.863,0.994,1.0,0.594,0.969,0.282,0.233,0.324,0.576,0.572,0.554,0.1,0.11,0.09
75,0.064,0.156,0.05,1.0,0.863,0.994,1.0,0.594,0.969,0.282,0.233,0.325,0.576,0.57,0.554,0.1,0.11,0.09
76,0.063,0.155,0.049,1.0,0.869,0.994,1.0,0.625,0.969,0.283,0.233,0.325,0.578,0.57,0.554,0.1,0.11,0.09
77,0.062,0.154,0.047,1.0,0.875,0.994,1.0,0.656,0.969,0.283,0.234,0.326,0.578,0.568,0.554,0.1,0.11,0.09
78,0.062,0.153,0.046,1.0,0.875,0.994,1.0,0.656,0.969,0.284,0.234,0.327,0.578,0.568,0.556,0.1,0.11,0.1
79,0.061,0.151,0.045,1.0,0.875,0.994,1.0,0.656,0.969,0.284,0.234,0.327,0.578,0.57,0.556,0.1,0.11,0.1
80,0.06,0.15,0.043,1.0,0.875,0.994,1.0,0.656,0.969,0.285,0.235,0.328,0.578,0.57,0.556,0.1,0.11,0.1
81,0.06,0.149,0.042,1.0,0.875,0.994,1.0,0.656,0.969,0.285,0.235,0.328,0.578,0.568,0.558,0.1,0.11,0.1
82,0.059,0.148,0.041,1.0,0.875,0.994,1.0,0.656,0.969,0.286,0.235,0.328,0.578,0.568,0.56,0.1,0.11,0.1
83,0.059,0.147,0.04,1.0,0.875,0.994,1.0,0.656,0.969,0.286,0.236,0.328,0.58,0.568,0.562,0.1,0.11,0.1
84,0.058,0.146,0.039,1.0,0.875,0.994,1.0,0.656,0.969,0.286,0.236,0.327,0.58,0.568,0.562,0.1,0.11,0.11
85,0.058,0.145,0.038,1.0,0.875,0.994,1.0,0.656,0.969,0.287,0.236,0.327,0.58,0.566,0.566,0.1,0.11,0.11
86,0.057,0.144,0.037,1.0,0.875,1.0,1.0,0.656,1.0,0.287,0.237,0.326,0.58,0.568,0.566,0.1,0.11,0.11
87,0.057,0.143,0.036,1.0,0.875,1.0,1.0,0.656,1.0,0.288,0.237,0.326,0.58,0.568,0.568,0.1,0.11,0.11
88,0.056,0.142,0.035,1.0,0.881,1.0,1.0,0.656,1.0,0.288,0.238,0.325,0.58,0.57,0.568,0.1,0.11,0.11
89,0.056,0.141,0.034,1.0,0.887,1.0,1.0,0.656,1.0,0.288,0.238,0.324,0.58,0.57,0.57,0.1,0.11,0.11
90,0.055,0.14,0.034,1.0,0.887,1.0,1.0,0.656,1.0,0.289,0.238,0.323,0.58,0.57,0.574,0.1,0.11,0.11
91,0.055,0.139,0.033,1.0,0.881,1.0,1.0,0.625,1.0,0.289,0.239,0.323,0.58,0.57,0.574,0.1,0.11,0.11
92,0.054,0.138,0.032,1.0,0.887,1.0,1.0,0.656,1.0,0.289,0.239,0.322,0.58,0.568,0.578,0.1,0.11,0.12
93,0.054,0.137,0.031,1.0,0.887,1.0,1.0,0.656,1.0,0.29,0.239,0.322,0.58,0.568,0.578,0.1,0.11,0.12
94,0.053,0.137,0.03,1.0,0.894,1.0,1.0,0.656,1.0,0.29,0.24,0.321,0.58,0.564,0.58,0.1,0.11,0.12
95,0.053,0.136,0.03,1.0,0.906,1.0,1.0,0.688,1.0,0.29,0.24,0.321,0.58,0.562,0.588,0.1,0.1,0.12
96,0.052,0.135,0.029,1.0,0.9,1.0,1.0,0.688,1.0,0.291,0.241,0.321,0.58,0.562,0.588,0.1,0.1,0.12
97,0.052,0.134,0.028,1.0,0.913,1.0,1.0,0.719,1.0,0.291,0.241,0.321,0.58,0.564,0.588,0.1,0.1,0.12
98,0.051,0.133,0.028,1.0,0.913,1.0,1.0,0.719,1.0,0.291,0.241,0.321,0.58,0.564,0.59,0.1,0.1,0.13
99,0.051,0.132,0.027,1.0,0.913,1.0,1.0,0.719,1.0,0.292,0.242,0.321,0.58,0.564,0.59,0.1,0.1,0.13
