,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
0,0.26,0.25,0.259,0.417,0.5,0.417,0.0,0.125,0.125,0.278,0.247,0.243,0.363,0.5,0.493,0.05,0.06,0.09
1,0.259,0.25,0.249,0.417,0.5,0.417,0.0,0.125,0.125,0.277,0.247,0.243,0.36,0.5,0.49,0.05,0.06,0.09
2,0.259,0.25,0.249,0.417,0.5,0.417,0.0,0.125,0.125,0.277,0.247,0.243,0.36,0.5,0.49,0.05,0.06,0.09
3,0.258,0.25,0.249,0.417,0.5,0.417,0.0,0.125,0.125,0.276,0.247,0.243,0.363,0.5,0.49,0.05,0.06,0.09
4,0.258,0.25,0.249,0.417,0.5,0.417,0.0,0.125,0.125,0.276,0.247,0.243,0.363,0.5,0.483,0.05,0.06,0.09
5,0.257,0.249,0.249,0.417,0.5,0.417,0.0,0.125,0.125,0.275,0.246,0.243,0.367,0.5,0.48,0.05,0.06,0.09
6,0.257,0.249,0.248,0.417,0.5,0.417,0.0,0.125,0.125,0.274,0.246,0.243,0.37,0.5,0.483,0.05,0.06,0.09
7,0.257,0.249,0.248,0.417,0.5,0.458,0.0,0.125,0.125,0.274,0.246,0.243,0.377,0.503,0.483,0.05,0.07,0.09
8,0.256,0.249,0.248,0.417,0.458,0.458,0.0,0.125,0.125,0.273,0.246,0.242,0.377,0.503,0.48,0.05,0.07,0.09
9,0.256,0.249,0.248,0.417,0.458,0.458,0.0,0.125,0.125,0.273,0.246,0.242,0.37,0.503,0.477,0.04,0.07,0.1
10,0.255,0.249,0.248,0.417,0.458,0.458,0.0,0.125,0.125,0.272,0.246,0.242,0.373,0.507,0.473,0.04,0.07,0.1
11,0.255,0.249,0.247,0.417,0.458,0.458,0.0,0.125,0.125,0.272,0.246,0.242,0.373,0.507,0.473,0.04,0.07,0.1
12,0.254,0.249,0.247,0.417,0.458,0.458,0.0,0.125,0.125,0.271,0.246,0.242,0.373,0.507,0.473,0.05,0.07,0.1
13,0.254,0.249,0.247,0.417,0.458,0.458,0.0,0.125,0.125,0.271,0.245,0.242,0.37,0.507,0.48,0.05,0.07,0.11
14,0.253,0.249,0.247,0.417,0.458,0.458,0.0,0.125,0.125,0.27,0.245,0.242,0.377,0.51,0.48,0.06,0.07,0.11
15,0.253,0.249,0.247,0.417,0.458,0.458,0.0,0.125,0.125,0.27,0.245,0.242,0.383,0.51,0.483,0.06,0.07,0.12
16,0.253,0.249,0.246,0.417,0.458,0.458,0.0,0.125,0.125,0.269,0.245,0.242,0.383,0.51,0.483,0.06,0.07,0.12
17,0.252,0.249,0.246,0.417,0.458,0.458,0.0,0.125,0.125,0.269,0.245,0.241,0.383,0.507,0.483,0.06,0.07,0.12
18,0.252,0.248,0.246,0.417,0.458,0.5,0.0,0.125,0.125,0.268,0.245,0.241,0.387,0.513,0.507,0.06,0.08,0.13
19,0.251,0.248,0.246,0.417,0.458,0.5,0.0,0.125,0.125,0.268,0.245,0.241,0.387,0.517,0.507,0.06,0.09,0.13
20,0.251,0.248,0.246,0.417,0.5,0.5,0.0,0.125,0.125,0.267,0.245,0.241,0.387,0.527,0.507,0.06,0.09,0.13
21,0.25,0.248,0.245,0.417,0.5,0.5,0.0,0.125,0.125,0.267,0.245,0.241,0.387,0.547,0.503,0.05,0.13,0.13
22,0.25,0.248,0.245,0.417,0.5,0.5,0.0,0.125,0.125,0.266,0.244,0.241,0.393,0.543,0.503,0.05,0.12,0.13
23,0.25,0.248,0.245,0.417,0.542,0.5,0.0,0.125,0.125,0.266,0.244,0.241,0.393,0.543,0.503,0.05,0.11,0.13
24,0.249,0.248,0.245,0.417,0.542,0.5,0.0,0.125,0.125,0.265,0.244,0.241,0.397,0.547,0.507,0.05,0.11,0.13
25,0.249,0.248,0.244,0.417,0.542,0.5,0.0,0.125,0.125,0.265,0.244,0.241,0.407,0.553,0.507,0.05,0.12,0.13
26,0.248,0.248,0.244,0.417,0.542,0.5,0.0,0.125,0.125,0.264,0.244,0.241,0.407,0.557,0.507,0.05,0.12,0.13
27,0.248,0.248,0.244,0.417,0.542,0.5,0.0,0.125,0.125,0.264,0.244,0.241,0.407,0.563,0.513,0.05,0.14,0.14
28,0.247,0.248,0.244,0.417,0.542,0.5,0.0,0.125,0.125,0.264,0.244,0.241,0.407,0.56,0.517,0.05,0.13,0.14
29,0.247,0.248,0.244,0.417,0.542,0.5,0.0,0.125,0.125,0.263,0.244,0.241,0.407,0.553,0.517,0.05,0.12,0.14
30,0.247,0.248,0.243,0.417,0.542,0.5,0.0,0.125,0.125,0.263,0.244,0.241,0.403,0.553,0.52,0.05,0.12,0.15
31,0.246,0.248,0.243,0.417,0.542,0.5,0.0,0.125,0.125,0.262,0.244,0.241,0.407,0.557,0.523,0.05,0.13,0.16
32,0.246,0.248,0.243,0.417,0.542,0.5,0.0,0.125,0.125,0.262,0.244,0.241,0.403,0.56,0.523,0.05,0.13,0.16
