sample,dina_par_0,dina_par_1,gdina_par_0,gdina_par_1,npc_par_0,npc_par_1,gnpc_par_0,gnpc_par_1,mlp_par_0,mlp_par_1,ann_par_0,ann_par_1,qnet_par_0,qnet_par_1
100,0.9719999999999999,0.8399999999999999,0.9810000000000001,0.8619999999999999,0.9570000000000001,0.8089999999999999,0.9810000000000001,0.773,0.9960000000000001,0.9139999999999999,0.9949999999999999,0.915,0.9960000000000001,0.953
200,0.9844999999999999,0.8605,0.9860000000000001,0.9024999999999999,0.961,0.8185,0.9865000000000002,0.7994999999999999,0.9915,0.8809999999999999,0.9925,0.9025000000000001,0.994,0.9369999999999999
300,0.9823999999999999,0.8647,0.9936999999999999,0.9373999999999999,0.9561999999999999,0.8083,0.9863,0.7807,0.9906,0.8874000000000001,0.9921,0.8986999999999998,0.9968,0.9434000000000001
500,0.984,0.861,1.0,1.0,0.9625999999999999,0.8148,0.986,0.7480000000000001,0.9895999999999999,0.8886000000000001,0.9917999999999999,0.9154000000000002,0.9964000000000001,0.9368000000000001
